"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","test_delete_exercise","tests.exercises","2025-12-11","passed","2025-12-11","TestExercises","test_exercises","",""
"","2087","test_create_file_with_empty_filename","tests.files","2025-12-11","passed","2025-12-11","TestFiles","test_files","",""
"","20","test_get_exercise","tests.exercises","2025-12-11","passed","2025-12-11","TestExercises","test_exercises","",""
"","32","test_create_exercise","tests.exercises","2025-12-11","passed","2025-12-11","TestExercises","test_exercises","",""
"","25","test_update_exercise","tests.exercises","2025-12-11","passed","2025-12-11","TestExercises","test_exercises","",""
"","2452","test_create_user[mail.ru]","tests.users","2025-12-11","passed","2025-12-11","TestUsers","test_users","",""
"","35","test_get_courses","tests.courses","2025-12-11","passed","2025-12-11","TestCourses","test_courses","",""
"","38","test_delete_file","tests.files","2025-12-11","passed","2025-12-11","TestFiles","test_files","",""
"","2066","test_get_file_with_incorrect_file_id","tests.files","2025-12-11","passed","2025-12-11","TestFiles","test_files","",""
"","39","test_create_course","tests.courses","2025-12-11","passed","2025-12-11","TestCourses","test_courses","",""
"","26","test_get_file","tests.files","2025-12-11","passed","2025-12-11","TestFiles","test_files","",""
"","23","test_get_exercises","tests.exercises","2025-12-11","passed","2025-12-11","TestExercises","test_exercises","",""
"","2086","test_create_file","tests.files","2025-12-11","passed","2025-12-11","TestFiles","test_files","",""
"","32","test_update_course","tests.courses","2025-12-11","passed","2025-12-11","TestCourses","test_courses","",""
"","2065","test_create_file_with_empty_directory","tests.files","2025-12-11","passed","2025-12-11","TestFiles","test_files","",""
"","2056","test_get_user_me","tests.users","2025-12-11","passed","2025-12-11","TestUsers","test_users","",""
"","2459","test_create_user[example.com]","tests.users","2025-12-11","passed","2025-12-11","TestUsers","test_users","",""
"","2417","test_login","tests.authentication","2025-12-11","passed","2025-12-11","TestAuthentication","test_authentication","",""
"","2444","test_create_user[gmail.com]","tests.users","2025-12-11","passed","2025-12-11","TestUsers","test_users","",""
